City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,souillac,MU,-20.5167,57.5167,70.18,73,40,12.66,scattered clouds,0.0,0
1,albany,US,42.6001,-73.9662,77.18,61,1,6.31,clear sky,0.0,0
2,high rock,BS,26.6208,-78.2833,84.22,73,0,12.71,clear sky,0.0,0
3,avarua,CK,-21.2078,-159.775,77.05,65,75,5.75,broken clouds,0.0,0
4,tha chang,TH,9.2642,99.1922,80.24,94,75,2.3,moderate rain,1.33,0
5,jamestown,US,42.097,-79.2353,76.64,65,0,9.22,clear sky,0.0,0
6,morden,CA,49.1919,-98.1014,75.06,57,7,11.5,clear sky,0.0,0
7,bethel,US,41.3712,-73.414,72.64,70,0,1.01,clear sky,0.0,0
8,talnakh,RU,69.4865,88.3972,49.21,53,63,20.27,broken clouds,0.0,0
9,severo-kurilsk,RU,50.6789,156.125,60.13,84,22,7.67,few clouds,0.0,0
10,freeport,US,40.6576,-73.5832,75.47,66,0,24.16,clear sky,0.0,0
11,kutum,SD,14.2,24.6667,72.39,71,100,10.51,overcast clouds,0.0,0
12,pevek,RU,69.7008,170.3133,50.09,55,82,4.36,broken clouds,0.0,0
13,kahului,US,20.8947,-156.47,87.82,45,40,25.32,scattered clouds,0.0,0
14,arraial do cabo,BR,-22.9661,-42.0278,70.43,93,19,24.85,few clouds,0.0,0
15,cockburn town,TC,21.4612,-71.1419,81.95,86,86,19.75,overcast clouds,0.0,0
16,rikitea,PF,-23.1203,-134.9692,74.71,73,0,12.24,clear sky,0.0,0
17,manadhoo,MV,5.7667,73.3833,81.32,75,100,8.05,overcast clouds,0.0,0
18,coihaique,CL,-45.5752,-72.0662,28.35,86,75,4.61,light snow,0.0,0
19,praia,CV,14.9215,-23.5087,75.74,78,75,11.5,broken clouds,0.0,0
20,punta arenas,CL,-53.15,-70.9167,30.31,80,75,9.22,broken clouds,0.0,0
21,honiara,SB,-9.4333,159.95,87.49,60,2,6.82,clear sky,0.0,0
22,trairi,BR,-3.2778,-39.2689,78.21,82,30,9.62,scattered clouds,0.0,0
23,kamskiye polyany,RU,55.4307,51.4171,68.81,84,0,4.0,clear sky,0.0,0
24,butaritari,KI,3.0707,172.7902,81.93,80,79,16.71,light rain,0.26,0
25,yulara,AU,-25.2406,130.9889,58.35,45,0,15.19,clear sky,0.0,0
26,qaanaaq,GL,77.484,-69.3632,42.24,82,93,5.06,overcast clouds,0.0,0
27,vardo,NO,70.3705,31.1107,48.18,100,100,2.3,fog,0.0,0
28,ushuaia,AR,-54.8,-68.3,33.46,55,40,9.22,scattered clouds,0.0,0
29,victoria,HK,22.2855,114.1577,90.97,77,12,5.99,few clouds,0.0,0
30,sitka,US,57.0531,-135.33,55.29,76,100,5.75,light rain,0.0,0
31,songjianghe,CN,42.1859,127.479,76.55,55,100,1.3,overcast clouds,0.0,0
32,lebu,CL,-37.6167,-73.65,48.36,80,100,16.44,light rain,0.27,0
33,vizinga,RU,61.0749,50.1031,69.73,78,8,2.75,clear sky,0.0,0
34,hasaki,JP,35.7333,140.8333,82.8,84,100,6.49,overcast clouds,0.0,0
35,bubaque,GW,11.2833,-15.8333,79.61,84,46,12.77,light rain,0.38,0
36,tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,9.22,mist,0.0,0
37,puerto ayora,EC,-0.7393,-90.3518,70.56,88,44,5.99,scattered clouds,0.0,0
38,san patricio,US,28.017,-97.5169,90.18,62,11,13.78,few clouds,0.0,0
39,faanui,PF,-16.4833,-151.75,78.17,74,1,8.05,light rain,0.59,0
40,weyburn,CA,49.6668,-103.8511,77.22,38,69,6.91,broken clouds,0.0,0
41,naduvattam,IN,11.4833,76.5667,56.34,94,100,5.99,overcast clouds,0.0,0
42,kapaa,US,22.0752,-159.319,85.98,68,40,12.66,scattered clouds,0.0,0
43,acapulco,MX,16.8634,-99.8901,84.02,79,75,6.91,broken clouds,0.0,0
44,hobart,AU,-42.8794,147.3294,54.27,78,40,3.44,scattered clouds,0.0,0
45,bluff,NZ,-46.6,168.3333,45.81,79,100,23.13,overcast clouds,0.0,0
46,govindgarh,IN,27.5,76.9833,92.25,50,86,6.55,overcast clouds,0.0,0
47,winnemucca,US,40.973,-117.7357,96.85,9,0,9.22,clear sky,0.0,0
48,sechura,PE,-5.5569,-80.8222,63.05,79,7,14.56,clear sky,0.0,0
49,aberdeen,GB,57.1437,-2.0981,67.5,73,100,12.66,moderate rain,1.69,0
50,petushki,RU,55.9264,39.461,65.73,91,100,7.43,light rain,0.39,0
51,orlik,RU,52.5178,99.825,61.23,57,83,4.72,broken clouds,0.0,0
52,saint-philippe,RE,-21.3585,55.7679,65.79,72,49,15.14,scattered clouds,0.0,0
53,port alfred,ZA,-33.5906,26.891,56.62,72,0,9.13,clear sky,0.0,0
54,poddorye,RU,57.4695,31.1156,62.96,96,100,8.61,overcast clouds,0.0,0
55,boddam,GB,57.4667,-1.7833,66.58,85,100,17.29,moderate rain,2.04,0
56,norman wells,CA,65.282,-126.8329,69.84,60,75,9.22,smoke,0.0,0
57,itarema,BR,-2.9248,-39.9167,79.52,76,98,14.43,overcast clouds,0.0,0
58,saint george,US,37.1041,-113.5841,108.19,12,0,12.66,clear sky,0.0,0
59,yumen,CN,40.2833,97.2,78.82,16,88,13.98,overcast clouds,0.0,0
60,sanghar,PK,26.0466,68.9481,85.15,75,5,11.1,clear sky,0.0,0
61,havre-saint-pierre,CA,50.2334,-63.5986,57.56,94,100,0.0,overcast clouds,0.0,0
